Date,Open,Close,Highest,Lowest
2018-12-11,42.915,42.1575,42.9475,41.75
2018-12-12,42.6,42.275,42.98,42.255
2018-12-13,42.6225,42.7375,43.1425,42.3875
2018-12-14,42.25,41.37,42.27,41.32
2018-12-17,41.3625,40.985,42.0875,40.6825
2018-12-18,41.345,41.5175,41.8825,41.0975
2018-12-19,41.5,40.2225,41.8625,39.7725
2018-12-20,40.1,39.2075,40.5275,38.825
2018-12-21,39.215,37.6825,39.54,37.4075
2018-12-24,37.0375,36.7075,37.8875,36.6475
2018-12-26,37.075,39.2925,39.3075,36.68
2018-12-27,38.96,39.0375,39.1925,37.5175
2018-12-28,39.375,39.0575,39.63,38.6375
2018-12-31,39.6325,39.435,39.84,39.12
2019-01-02,38.7225,39.48,39.7125,38.5575
2019-01-03,35.995,35.5475,36.43,35.5
2019-01-04,36.1325,37.065,37.137475,35.95
2019-01-07,37.175,36.9825,37.2075,36.475
2019-01-08,37.39,37.6875,37.955,37.13
2019-01-09,37.8225,38.3275,38.6325,37.4075
2019-01-10,38.125,38.45,38.4925,37.715
2019-01-11,38.22,38.0725,38.425,37.8775
2019-01-14,37.7125,37.5,37.8175,37.305
2019-01-15,37.5675,38.2675,38.3475,37.5125
2019-01-16,38.27,38.735,38.97,38.25
2019-01-17,38.55,38.965,39.415,38.315
2019-01-18,39.375,39.205,39.47,38.99515
2019-01-22,39.1025,38.325,39.1825,38.155
2019-01-23,38.5375,38.48,38.785,37.925
2019-01-24,38.5275,38.175,38.62,37.935
2019-01-25,38.87,39.44,39.5325,38.58
2019-01-28,38.9475,39.075,39.0825,38.415
2019-01-29,39.0625,38.67,39.5325,38.5275
2019-01-30,40.8125,41.3125,41.5375,40.0575
2019-01-31,41.5275,41.61,42.25,41.14
2019-02-01,41.74,41.63,42.245,41.4825
2019-02-04,41.8525,42.8125,42.91375,41.82
2019-02-05,43.215,43.545,43.77,43.087525
2019-02-06,43.6625,43.56,43.8925,43.213275
2019-02-07,43.1,42.735,43.485,42.585
2019-02-08,42.2475,42.6025,42.665,42.105
2019-02-11,42.7625,42.3575,42.8025,42.3125
2019-02-12,42.525,42.7225,42.75,42.425
2019-02-13,42.8475,42.545,43.12,42.48
2019-02-14,42.4275,42.7,42.815375,42.345
2019-02-15,42.8125,42.605,42.925,42.4375
2019-02-19,42.4275,42.7325,42.86,42.3725
2019-02-20,42.7975,43.0075,43.33,42.7475
2019-02-21,42.95,42.765,43.0925,42.575
2019-02-22,42.895,43.2425,43.25,42.845
2019-02-25,43.54,43.5575,43.9675,43.4875
2019-02-26,43.4275,43.5825,43.825,43.2933
2019-02-27,43.3025,43.7175,43.75,43.1825
2019-02-28,43.58,43.2875,43.7275,43.23
2019-03-01,43.57,43.7425,43.7875,43.2225
2019-03-04,43.9225,43.9625,44.4375,43.4925
2019-03-05,43.985,43.8825,44.0,43.635
2019-03-06,43.6675,43.63,43.8725,43.485
2019-03-07,43.4675,43.125,43.61,43.005
2019-03-08,42.58,43.2275,43.2675,42.375
2019-03-11,43.8725,44.725,44.78,43.8375
2019-03-12,45.0,45.2275,45.6675,44.8425
2019-03-13,45.5625,45.4275,45.825,45.23
2019-03-14,45.975,45.9325,46.025,45.64
2019-03-15,46.2125,46.53,46.8325,45.935
2019-03-18,46.45,47.005,47.0975,46.4475
2019-03-19,47.0875,46.6325,47.2475,46.48
2019-03-20,46.5575,47.04,47.3725,46.1825
2019-03-21,47.505,48.7725,49.0825,47.4525
2019-03-22,48.835,47.7625,49.4225,47.695
2019-03-25,47.8775,47.185,47.995,46.65
2019-03-26,47.916,46.6975,48.22,46.145
2019-03-27,47.1875,47.1175,47.44,46.6375
2019-03-28,47.2375,47.18,47.38975,46.8825
2019-03-29,47.4575,47.4875,47.52,47.135
2019-04-01,47.91,47.81,47.92,47.095
2019-04-02,47.7725,48.505,48.615,47.7625
2019-04-03,48.3125,48.8375,49.125,48.2875
2019-04-04,48.6975,48.9225,49.0925,48.285
2019-04-05,49.1125,49.25,49.275,48.9825
2019-04-08,49.105,50.025,50.0575,49.085
2019-04-09,50.08,49.875,50.7125,49.8075
2019-04-10,49.67,50.155,50.185,49.545
2019-04-11,50.2125,49.7375,50.25,49.610775
2019-04-12,49.8,49.7175,50.035,49.0525
2019-04-15,49.645,49.8075,49.9625,49.5025
2019-04-16,49.865,49.8125,50.3425,49.64
2019-04-17,49.885,50.7825,50.845,49.6525
2019-04-18,50.78,50.965,51.0375,50.63
2019-04-22,50.7075,51.1325,51.235,50.585
