date,daily_weighted_avg,Category
20230516,0.14083048979591836,APPLE Inc
20230517,0.14439178260869562,APPLE Inc
20230518,0.2168431558441558,APPLE Inc
20230519,0.16428173684210523,APPLE Inc
20230520,0.17347864516129033,APPLE Inc
20230521,0.19885344444444442,APPLE Inc
20230522,0.13428489655172415,APPLE Inc
20230523,0.16939510810810807,APPLE Inc
20230524,0.17838151666666666,APPLE Inc
20230525,0.13865827777777778,APPLE Inc
20230601,0.1735687142857143,APPLE Inc
20230602,0.11011861052631583,APPLE Inc
20230603,0.09717887096774193,APPLE Inc
20230604,0.13548010000000002,APPLE Inc
20230605,0.17884818032786887,APPLE Inc
20230606,0.14349540624999998,APPLE Inc
20230607,0.1711546990291262,APPLE Inc
20230608,0.16595161363636363,APPLE Inc
20230609,0.15209640425531915,APPLE Inc
20230610,0.1377905161290323,APPLE Inc
20230611,0.21968471428571432,APPLE Inc
20230612,0.17046312121212123,APPLE Inc
20230613,0.17979764935064932,APPLE Inc
20230614,0.1763984,APPLE Inc
20230615,0.19678836363636365,APPLE Inc
20230616,0.135959,APPLE Inc
20230617,0.13357685714285714,APPLE Inc
20230618,0.1977228,APPLE Inc
20230619,0.20094878571428576,APPLE Inc
20230620,0.15203785074626866,APPLE Inc
20230621,0.15964552,APPLE Inc
20230622,0.16808511111111113,APPLE Inc
20230623,0.14825426470588235,APPLE Inc
20230624,0.15244157142857143,APPLE Inc
20230625,0.20085787499999996,APPLE Inc
20230626,0.15382651515151516,APPLE Inc
20230627,0.012450933333333332,APPLE Inc
20230701,0.060265590909090914,APPLE Inc
20230702,0.1974532857142857,APPLE Inc
20230703,0.18779377669902914,APPLE Inc
20230704,0.1571622857142857,APPLE Inc
20230705,0.14658983870967743,APPLE Inc
20230706,0.16600341666666665,APPLE Inc
20230707,0.12495368750000001,APPLE Inc
20230708,0.16879966666666668,APPLE Inc
20230709,0.11753266666666667,APPLE Inc
20230710,0.1656484090909091,APPLE Inc
20230711,0.1369121875,APPLE Inc
20230712,0.11362888235294118,APPLE Inc
20230713,0.16705941935483873,APPLE Inc
20230714,0.1851211212121212,APPLE Inc
20230715,0.086138,APPLE Inc
20230716,0.2668532,APPLE Inc
20230717,0.16898167857142857,APPLE Inc
20230718,0.1533791538461538,APPLE Inc
20230719,0.1324220303030303,APPLE Inc
20230720,0.12798591397849463,APPLE Inc
20230721,0.19040529032258063,APPLE Inc
20230722,0.19175328571428568,APPLE Inc
20230723,0.26489233333333334,APPLE Inc
20230724,0.12924878125,APPLE Inc
20230725,0.13385130588235297,APPLE Inc
20230726,0.19296813793103448,APPLE Inc
20230727,0.1846507037037037,APPLE Inc
20230728,0.12911979245283017,APPLE Inc
20230801,0.11753476404494383,APPLE Inc
20230802,0.1302201612903226,APPLE Inc
20230803,0.09412772972972971,APPLE Inc
20230804,0.11337088059701493,APPLE Inc
20230805,0.17903090909090907,APPLE Inc
20230806,0.19338471428571427,APPLE Inc
20230807,0.09252278947368422,APPLE Inc
20230808,0.1447962,APPLE Inc
20230809,0.10439434482758622,APPLE Inc
20230810,0.17456156140350876,APPLE Inc
